q_percentile,k,n,observed_overlap,observed_jaccard,expected_jaccard,chance_adjusted_jaccard,hypergeometric_pvalue,overlap_enrichment,mean_rank_displacement_in_union,median_rank_displacement_in_union,adj_jaccard_ci95_low,adj_jaccard_ci95_high,panel,attribute
47.0,269,573,265,0.9706959706959707,0.3070021521112328,0.9577141121097205,2.1022495189775862e-154,3.1618539610245757,7.996336996336996,5.0,,,P0,volume
48.0,275,573,271,0.9713261648745519,0.3159984701785904,0.958079282172169,1.1557967477752866e-154,3.0738318585074005,8.053763440860216,5.0,,,P0,volume
49.0,280,573,275,0.9649122807017544,0.32359062621322854,0.9481265034784888,2.7069923561911724e-151,2.9818919416594283,7.982456140350878,5.0,,,P0,volume
50.0,286,573,284,0.9861111111111112,0.33281774305900164,0.9791827664114319,1.6253154573083375e-162,2.9629162857951785,7.940972222222222,5.0,,,P0,volume
1.0,5,573,4,0.6666666666666666,0.0048647682070274215,0.6650371500436637,5.61666599686185e-09,137.03975981910722,1.4166666666666667,1.0,,,P0,band_gap
2.0,11,573,11,1.0,0.010144239897062002,1.0,2.0109351459029766e-23,98.57811035103992,1.8181818181818181,1.0,,,P0,band_gap
3.0,17,573,15,0.7894736842105263,0.015500234329753358,0.7861591001536221,1.2262944084373778e-25,50.93301607028599,4.631578947368421,2.0,,,P0,band_gap
4.0,22,573,20,0.8333333333333334,0.02001050598232266,0.8299301495739706,1.2385839517128153e-32,41.64479069492308,5.333333333333333,2.5,,,P0,band_gap
5.0,28,573,24,0.75,0.025477572909264095,0.7434640875876702,2.6261884388820837e-34,29.43765493954437,5.34375,3.0,,,P0,band_gap
6.0,34,573,30,0.7894736842105263,0.031004428935034415,0.7827375871717384,2.1609985047857404e-41,25.463255132509023,5.315789473684211,3.25,,,P0,band_gap
7.0,40,573,37,0.8604651162790697,0.03659167305736104,0.8551653750349636,3.8481514935647104e-51,23.51532587564953,5.465116279069767,3.5,,,P0,band_gap
8.0,45,573,40,0.8,0.041294420937402626,0.7913853800709537,2.211321589639734e-50,19.373077084982103,5.84,4.25,,,P0,band_gap
