q_percentile,k,n,observed_overlap,observed_jaccard,expected_jaccard,chance_adjusted_jaccard,hypergeometric_pvalue,overlap_enrichment,mean_rank_displacement_in_union,median_rank_displacement_in_union,adj_jaccard_ci95_low,adj_jaccard_ci95_high,panel,metric
45.0,257,573,156,0.43575418994413406,0.28937380606327734,0.20598788101229362,4.240283930886864e-12,1.5058522257845541,173.9217877094972,152.5,0.08721198326673373,0.3247637787578535,P0,F3_Longitudinal
46.0,263,573,163,0.4490358126721763,0.2981280897313316,0.21500749742653041,7.534444006211157e-13,1.5061841810238021,174.08126721763085,154.0,0.09551838845090074,0.33449660640216006,P0,F3_Longitudinal
47.0,269,573,167,0.4501347708894879,0.3070021521112328,0.20654121685126683,5.741512093203811e-12,1.466226760281457,173.03369272237197,148.0,0.08807667146222992,0.32500576224030375,P0,F3_Longitudinal
48.0,275,573,174,0.4627659574468085,0.3159984701785904,0.21457186989996727,1.3094654316773093e-12,1.464456322162796,173.01329787234042,150.0,0.09673807408648716,0.3324056657134474,P0,F3_Longitudinal
49.0,280,573,179,0.46981627296587924,0.32359062621322854,0.21617921397811127,1.1336665816818519e-12,1.4518846805416916,172.84251968503938,148.0,0.09815202516611848,0.33420640279010405,P0,F3_Longitudinal
50.0,286,573,183,0.4704370179948586,0.33281774305900164,0.20626938666929684,1.15374027711972e-11,1.4134974105375744,171.5012853470437,147.0,0.08650772138968658,0.3260310519489071,P0,F3_Longitudinal
1.0,5,573,0,0.0,0.0048647682070274215,-0.004888549869008643,1.0,0.0,321.0,309.0,-0.004888549872962303,-0.004888549865054982,P0,F4_KelvinOp
2.0,11,573,0,0.0,0.010144239897062002,-0.010248200097362744,1.0,0.0,243.9090909090909,208.5,-0.010248200101316404,-0.010248200093409083,P0,F4_KelvinOp
3.0,17,573,0,0.0,0.015500234329753358,-0.015744274270294834,1.0,0.0,195.5,147.5,-0.023427402169694973,-0.008061146370894695,P0,F4_KelvinOp
4.0,22,573,0,0.0,0.02001050598232266,-0.020419102556176693,1.0,0.0,200.5,157.5,-0.06847082778852151,0.02763262267616812,P0,F4_KelvinOp
5.0,28,573,0,0.0,0.025477572909264095,-0.026143649649318874,1.0,0.0,213.91071428571428,172.0,-0.1117602082364692,0.05947290893783145,P0,F4_KelvinOp
6.0,34,573,2,0.030303030303030304,0.031004428935034415,-0.000723840905932362,0.61515108602871,0.9773774697326696,221.5909090909091,184.0,-0.09671603832538882,0.0952683565135241,P0,F4_KelvinOp
7.0,40,573,2,0.02564102564102564,0.03659167305736104,-0.011366569200296517,0.7893552550834071,0.7007338965023768,216.62179487179486,181.0,-0.11311028839377711,0.09037714999318407,P0,F4_KelvinOp
8.0,45,573,4,0.046511627906976744,0.041294420937402626,0.00544192824524438,0.4795287179350617,1.1263416909873316,219.5639534883721,184.0,-0.1065158284250846,0.11739968491557336,P0,F4_KelvinOp
9.0,51,573,7,0.07368421052631578,0.046994555952628414,0.028005773461626405,0.15527433057773457,1.5679307748027485,224.73157894736843,184.0,-0.09699577007843525,0.15300731700168807,P0,F4_KelvinOp
10.0,57,573,9,0.08571428571428572,0.05275760760908707,0.03479223308620452,0.09792859132644674,1.624681057363225,229.38571428571427,189.0,-0.09970887081975682,0.16929333699216587,P0,F4_KelvinOp
11.0,63,573,12,0.10526315789473684,0.05858458404020633,0.04958339651464139,0.031330145861704996,1.7967723014384673,230.01315789473685,189.5,-0.08366895868180718,0.18283575171108996,P0,F4_KelvinOp
12.0,68,573,14,0.11475409836065574,0.06348998130614933,0.05473952870894474,0.019621626725187958,1.8074363230209554,230.79508196721312,190.5,-0.07374575644461676,0.18322481386250625,P0,F4_KelvinOp
13.0,74,573,16,0.12121212121212122,0.06943688706444504,0.055638605730186315,0.01754905291451037,1.745644517439601,226.54924242424244,189.5,-0.07337953977653691,0.18465675123690953,P0,F4_KelvinOp
14.0,80,573,19,0.1347517730496454,0.07545075520425892,0.06414046431727682,0.007665405902021586,1.7859565843290477,218.41489361702128,184.0,-0.06460584212633533,0.19288677076088898,P0,F4_KelvinOp
15.0,85,573,22,0.14864864864864866,0.08051427689820931,0.07410052167052147,0.002673512516616943,1.8462396282410716,215.80067567567568,184.0,-0.05612030559235459,0.20432134893339754,P0,F4_KelvinOp
