analysis,panel,distance_metric,threshold_quantile,threshold_value,metric,n,tau,rho,nAUCC,n_excluded,boundary_count,nonidentical_space_group_count
continuous_threshold,P2,max_distance,0.5,0.004186554019297622,F4_KelvinOp,104,0.06516665139035042,0.09003011317143189,-0.03850562315951633,103,1,0
continuous_threshold,P2,max_distance,0.55,0.004482602443231403,F1_Frobenius,114,0.10061330672350693,0.13909021504294342,-0.016505323238592256,93,0,0
continuous_threshold,P2,max_distance,0.55,0.004482602443231403,F3_Longitudinal,114,0.11835165063357518,0.17696297659401983,-0.034206454300889644,93,0,0
continuous_threshold,P2,max_distance,0.55,0.004482602443231403,F4_KelvinOp,114,0.09906063223703308,0.1327071803068279,-0.026139093947490644,93,0,0
continuous_threshold,P2,max_distance,0.6,0.005100977572115129,F1_Frobenius,124,0.1317946367006001,0.18514899315364097,-0.007531484053924382,83,0,0
continuous_threshold,P2,max_distance,0.6,0.005100977572115129,F3_Longitudinal,124,0.15235010542310717,0.2260603554800325,-0.021894912466545888,83,0,0
continuous_threshold,P2,max_distance,0.6,0.005100977572115129,F4_KelvinOp,124,0.13441741554041303,0.18754081438388975,-0.016594462150674734,83,0,0
continuous_threshold,P2,max_distance,0.65,0.005413614921076308,F1_Frobenius,134,0.1431056739444153,0.19637475420439787,0.0036152798955350705,73,0,0
continuous_threshold,P2,max_distance,0.65,0.005413614921076308,F3_Longitudinal,134,0.15306786773136635,0.22635424835597456,-0.013170659233214208,73,0,0
continuous_threshold,P2,max_distance,0.65,0.005413614921076308,F4_KelvinOp,134,0.14175879701317373,0.19637974181641654,-0.0026837278087660362,73,0,0
continuous_threshold,P2,max_distance,0.7,0.006124940343540855,F1_Frobenius,145,0.16362504209986048,0.22475660749284865,0.020326021543904726,62,0,0
continuous_threshold,P2,max_distance,0.7,0.006124940343540855,F3_Longitudinal,145,0.18270013819359512,0.2668072225157359,0.006869091155428193,62,0,0
continuous_threshold,P2,max_distance,0.7,0.006124940343540855,F4_KelvinOp,145,0.1730133641875574,0.24099031940942056,0.017500311313103336,62,0,0
continuous_threshold,P2,max_distance,0.75,0.006761985011874953,F1_Frobenius,155,0.18058407021339645,0.24491374330615237,0.027549037168359398,52,0,0
continuous_threshold,P2,max_distance,0.75,0.006761985011874953,F3_Longitudinal,155,0.19746489673255266,0.287209769609269,0.016285538621927272,52,0,0
continuous_threshold,P2,max_distance,0.75,0.006761985011874953,F4_KelvinOp,155,0.19097498655050138,0.2644619842947854,0.02306323952241491,52,0,0
continuous_threshold,P2,max_distance,0.8,0.007239686795840717,F1_Frobenius,165,0.18050781695441825,0.24604542658640904,0.030621262561898583,42,0,0
continuous_threshold,P2,max_distance,0.8,0.007239686795840717,F3_Longitudinal,165,0.19421026235709377,0.28256850513536586,0.01697978476350275,42,0,0
continuous_threshold,P2,max_distance,0.8,0.007239686795840717,F4_KelvinOp,165,0.1944044056470598,0.26994417347835503,0.025316722660941343,42,0,0
continuous_threshold,P2,max_distance,0.8500000000000001,0.0076154839429317545,F1_Frobenius,176,0.19170698454759977,0.26157208051745184,0.045603335608525544,31,0,0
continuous_threshold,P2,max_distance,0.8500000000000001,0.0076154839429317545,F3_Longitudinal,176,0.2050600629209475,0.2984856635784762,0.027515047897532726,31,0,0
continuous_threshold,P2,max_distance,0.8500000000000001,0.0076154839429317545,F4_KelvinOp,176,0.20430561429090408,0.2844248587247713,0.03508628032699045,31,0,0
continuous_threshold,P2,max_distance,0.9,0.00864184203369633,F1_Frobenius,186,0.20333662733244204,0.27717370526918444,0.0503237665038771,21,0,0
continuous_threshold,P2,max_distance,0.9,0.00864184203369633,F3_Longitudinal,186,0.21751422861371478,0.3165623883056187,0.03237927583549859,21,0,0
continuous_threshold,P2,max_distance,0.9,0.00864184203369633,F4_KelvinOp,186,0.21659012962855317,0.3013698630136986,0.03979810476956987,21,0,0
continuous_threshold,P2,max_distance,0.95,0.011205012636869936,F1_Frobenius,196,0.19473518944944526,0.270809825259306,0.05201653813439992,11,0,0
