q_percentile,k,n,observed_overlap,observed_jaccard,expected_jaccard,chance_adjusted_jaccard,cluster_boot_ci95_low,cluster_boot_ci95_high,panel,metric
30.0,171,573,76,0.2857142857142857,0.17573444559908336,0.13342767937832442,0.007210799885757679,0.25964455887089116,P0,F4_KelvinOp
31.0,177,573,79,0.2872727272727273,0.1830083192418814,0.1276199139923859,0.0020625809514479287,0.2531772470333239,P0,F4_KelvinOp
32.0,183,573,83,0.29328621908127206,0.1903728151227539,0.12711209045447464,0.0004100958553518719,0.25381408505359737,P0,F4_KelvinOp
33.0,189,573,83,0.28135593220338984,0.19782963807008228,0.10412538046451147,-0.024461594753795335,0.23271235568281828,P0,F4_KelvinOp
34.0,194,573,90,0.30201342281879195,0.20411544453627195,0.12300524945540503,-0.011784868762271805,0.25779536767308187,P0,F4_KelvinOp
35.0,200,573,95,0.3114754098360656,0.2117461055962624,0.12651926612458017,-0.013556567233533906,0.2665950994826942,P0,F4_KelvinOp
36.0,206,573,104,0.33766233766233766,0.21947416273996465,0.15142122051623788,0.006399119094564781,0.296443321937911,P0,F4_KelvinOp
37.0,212,573,113,0.3633440514469453,0.22730149363603225,0.17606162907066927,0.028782242293166727,0.3233410158481718,P0,F4_KelvinOp
38.0,217,573,118,0.37341772151898733,0.23390149173608848,0.18211265036798271,0.036666743858628115,0.3275585568773373,P0,F4_KelvinOp
39.0,223,573,124,0.38509316770186336,0.24191586374086366,0.18886729996425794,0.04598115754468085,0.33175344238383503,P0,F4_KelvinOp
40.0,229,573,127,0.38368580060422963,0.25003509898592313,0.17820927544420892,0.03777870143343004,0.3186398494549878,P0,F4_KelvinOp
41.0,234,573,132,0.39285714285714285,0.256882726086866,0.18297840938921767,0.04298526757982432,0.322971551198611,P0,F4_KelvinOp
42.0,240,573,140,0.4117647058823529,0.26519963409964514,0.1994624371248384,0.060772291335839806,0.338152582913837,P0,F4_KelvinOp
43.0,246,573,143,0.40974212034383956,0.2736274229346693,0.18738964232253494,0.050974382087318554,0.3238049025577513,P0,F4_KelvinOp
44.0,252,573,150,0.423728813559322,0.28216832632827377,0.19720568543174327,0.06301144196443781,0.33139992889904873,P0,F4_KelvinOp
