q_percentile,n,k,observed_overlap,min_overlap,max_overlap,expected_jaccard,observed_jaccard,min_jaccard,max_jaccard,observed_adjusted_jaccard,min_adjusted_jaccard,max_adjusted_jaccard,bounds_exact,tie_ambiguous,left_cutoff_score,left_next_score,left_absolute_gap,left_relative_gap,left_tie_block_size,left_optional_needed,right_cutoff_score,right_next_score,right_absolute_gap,right_relative_gap,right_tie_block_size,right_optional_needed,hypergeometric_pvalue,panel,metric
29.0,573,166,70,70,70,0.16974090852766702,0.26717557251908397,0.26717557251908397,0.26717557251908397,0.11735452823362887,0.11735452823362887,0.11735452823362887,True,False,0.6073081613151597,0.6058269617638357,0.001481199551324086,0.002438958745616831,1,1,1.001354446686379,1.0001855922249285,0.0011688544614505414,0.001167273451791664,1,1,9.714891687477384e-06,P0,F1_Frobenius
30.0,573,171,74,74,74,0.17573444559908336,0.27611940298507465,0.27611940298507465,0.27611940298507465,0.12178715566848107,0.12178715566848107,0.12178715566848107,True,False,0.6011537726738476,0.6008319964848743,0.0003217761889733328,0.0005352643593038059,1,1,0.9735835721703595,0.9629365683158991,0.01064700385446038,0.010935891030623663,1,1,5.110149877273816e-06,P0,F1_Frobenius
31.0,573,177,79,79,79,0.1830083192418814,0.2872727272727273,0.2872727272727273,0.2872727272727273,0.1276199139923859,0.1276199139923859,0.1276199139923859,True,False,0.58548,0.5846708690365888,0.0008091309634111754,0.0013819959066256327,1,1,0.9412164336644339,0.9281397622125652,0.013076671451868638,0.013893373494295345,1,1,2.14493430065993e-06,P0,F1_Frobenius
32.0,573,183,83,83,83,0.1903728151227539,0.29328621908127206,0.29328621908127206,0.29328621908127206,0.12711209045447464,0.12711209045447464,0.12711209045447464,True,False,0.5715270214084369,0.565176941850957,0.006350079557479904,0.011110724986950133,1,1,0.8884653169370188,0.8822783802746161,0.0061869366624026645,0.0069636220395548,1,1,2.464729161936949e-06,P0,F1_Frobenius
33.0,573,189,90,90,90,0.19782963807008228,0.3125,0.3125,0.3125,0.14295013549744684,0.14295013549744684,0.14295013549744684,True,True,0.5554244585900048,0.55424,0.0011844585900048221,0.0021325286844797535,1,1,0.8665263507808845,0.8665263507808845,0.0,0.0,3,1,1.9050216046030827e-07,P0,F1_Frobenius
34.0,573,194,94,94,94,0.20411544453627195,0.3197278911564626,0.3197278911564626,0.3197278911564626,0.14526283469947246,0.14526283469947246,0.14526283469947246,True,False,0.5519613249132588,0.55058,0.001381324913258819,0.0025025755445381892,1,1,0.8564396331887456,0.8501268932929955,0.006312739895750097,0.007370910512683933,1,1,1.3597725689859222e-07,P0,F1_Frobenius
35.0,573,200,101,101,101,0.2117461055962624,0.3377926421404682,0.3377926421404682,0.3377926421404682,0.1599060118054371,0.1599060118054371,0.1599060118054371,True,False,0.529972529571109,0.52796,0.0020125295711089786,0.003797422430060024,1,1,0.8244629626604356,0.8215182802591797,0.0029446824012558936,0.0035716369741507653,1,1,1.0673299853027181e-08,P0,F1_Frobenius
36.0,573,206,106,106,106,0.21947416273996465,0.3464052287581699,0.3464052287581699,0.3464052287581699,0.16262250390555322,0.16262250390555322,0.16262250390555322,True,False,0.5085630603966435,0.504113846467244,0.004449213929399454,0.008748598307414186,1,1,0.8146411933483352,0.8056699999988073,0.008971193349527895,0.011012447471081753,1,1,7.093224368522331e-09,P0,F1_Frobenius
37.0,573,212,113,113,113,0.22730149363603225,0.3633440514469453,0.3633440514469453,0.3633440514469453,0.17606162907066927,0.17606162907066927,0.17606162907066927,True,False,0.49440578263204005,0.49310678011968156,0.0012990025123584825,0.0026274015353199482,1,1,0.7852012089904072,0.7846498419567213,0.0005513670336859677,0.0007021984013433985,1,1,5.996190821387547e-10,P0,F1_Frobenius
38.0,573,217,116,116,116,0.23390149173608848,0.36477987421383645,0.36477987421383645,0.36477987421383645,0.17083753729574155,0.17083753729574155,0.17083753729574155,True,False,0.483450985623155,0.4756617457816005,0.007789239841554552,0.01611174673998117,1,1,0.7738314795225121,0.7730582069934967,0.0007732725290153786,0.0009992776844546588,1,1,1.828681706804241e-09,P0,F1_Frobenius
